fact_id,country_id,year_id,language_id,religion_id,region_id,population,infected_num,infected_with_hiv_num,case_detection_rate,case_fatality_rate,smoking_prevalence,gdp_per_capita,health_development_ratio,human_development_index,democracy,monarchy
29,47,1,14,5,2,81797259,10000,810,91.00,0.08,25.60,23635.93,14.43,0.944,democracy,republic
30,35,1,13,4,1,747323,5000,2400,80.00,0.17,21.60,768.18,0.56,0.264,autocracy,N/A
31,36,1,6,5,4,68503,3,1,89.13,0.70,5.90,4787.80,4.30,0.940,democracy,republic
32,34,1,43,2,2,5339658,680,56,87.00,0.07,31.40,30743.55,13.44,1.028,democracy,monarchy
33,3,1,13,4,3,30903885,23000,74,80.00,0.11,15.80,1765.03,1.78,0.688,autocracy,N/A
34,37,1,9,5,4,12689211,8600,560,80.00,0.20,7.40,1445.28,2.47,0.706,autocracy,N/A
35,38,1,13,4,1,73083284,19000,27,57.00,0.06,16.00,1450.48,1.47,0.713,autocracy,N/A
36,39,1,42,4,3,2247028,4000,1100,170.00,0.08,6.50,308.13,0.65,0.377,autocracy,N/A
37,40,1,55,2,2,1396995,910,47,87.00,0.12,28.50,4070.61,6.46,0.877,democracy,republic
38,41,1,11,5,3,67411490,284000,103000,32.00,0.52,3.80,124.46,0.37,0.112,autocracy,N/A
39,43,1,45,5,2,5176215,610,14,87.00,0.22,21.50,24285.47,18.02,1.028,democracy,republic
40,44,1,16,5,2,59483714,7400,1200,83.00,0.19,30.90,22364.03,14.64,0.968,democracy,republic
41,45,1,16,5,3,1275564,6600,3800,36.83,0.40,9.40,4135.99,0.70,0.283,autocracy,N/A
42,46,1,47,5,2,4328356,11000,13,40.00,0.04,22.70,749.91,1.91,0.768,autocracy,N/A
43,48,1,6,5,3,19637082,42000,17000,26.00,0.51,4.60,258.47,0.57,0.338,democracy,republic
44,52,1,16,4,3,8428829,19000,5400,28.00,0.41,6.30,363.48,0.31,0.013,autocracy,N/A
45,49,1,34,5,2,10782628,810,44,87.00,0.12,38.90,12042.95,12.17,0.901,democracy,republic
46,50,1,6,5,4,107446,0,1,83.00,0.72,9.10,5056.98,4.69,0.561,democracy,monarchy
47,51,1,9,5,4,11697585,3700,310,80.00,0.19,8.10,1664.30,1.30,0.522,democracy,republic
48,53,1,6,5,4,764831,530,72,80.00,0.19,14.40,954.40,1.41,0.430,democracy,republic
49,55,1,9,5,4,6577777,8000,1600,80.00,0.11,13.00,1080.51,1.91,0.482,democracy,republic
50,31,1,48,5,2,4326097,1900,27,87.00,0.09,26.00,4887.71,8.77,0.868,democracy,republic
51,54,1,16,5,4,8303152,22000,9800,46.00,0.27,9.10,805.03,0.55,0.209,autocracy,N/A
52,56,1,36,5,2,10190597,3500,46,87.00,0.12,30.60,4624.28,7.05,0.891,democracy,republic
53,58,1,3,3,6,1057922722,3400000,418000,33.00,0.32,16.10,443.31,0.68,0.418,democracy,republic
54,61,1,6,5,2,3802578,440,29,87.00,0.13,26.80,26269.18,10.78,0.951,democracy,republic
55,60,1,13,4,1,24424058,12000,2,79.00,0.11,17.10,2058.26,1.55,0.576,autocracy,N/A
56,57,1,61,5,2,281279,15,1,87.00,0.14,24.50,32096.37,19.43,0.977,democracy,republic
57,62,1,39,7,2,6111188,620,39,87.00,0.14,24.40,21061.48,11.44,0.957,democracy,republic
58,63,1,17,5,2,57272194,4000,590,87.00,0.15,23.40,20087.59,14.25,0.928,democracy,republic
59,64,1,6,5,4,2607832,160,45,81.00,0.20,15.70,3392.12,3.34,0.826,democracy,monarchy
60,66,1,13,4,1,5386946,400,1,76.00,0.08,26.10,1651.62,2.68,0.791,autocracy,N/A
61,65,1,10,2,5,127027790,45000,510,87.00,0.11,29.80,39169.36,18.02,0.630,democracy,monarchy
62,67,1,26,4,2,15501105,27000,390,97.00,0.22,18.90,1229.00,1.54,0.753,autocracy,N/A
63,70,1,13,4,1,1954710,590,3,87.00,0.04,22.80,18440.38,5.90,0.874,autocracy,N/A
64,72,1,13,4,1,4329344,660,5,87.00,0.09,35.30,4491.64,3.74,0.554,autocracy,N/A
65,75,1,13,4,1,5305030,2100,19,63.00,0.18,11.00,7142.77,2.52,0.512,autocracy,N/A
66,76,1,52,5,2,3500408,3100,120,87.00,0.13,25.10,3293.23,6.73,0.894,democracy,republic
67,77,1,57,5,2,436126,51,5,87.00,0.08,28.80,48538.78,17.31,0.938,democracy,monarchy
68,71,1,54,5,2,2368315,2300,240,87.00,0.16,30.60,3361.64,4.95,0.853,democracy,republic
69,89,1,13,4,1,28423443,33000,550,88.00,0.08,13.80,1334.94,1.31,0.552,autocracy,N/A
70,81,1,59,4,6,282019,170,0,79.00,0.09,18.50,2234.60,1.80,0.643,autocracy,N/A
71,86,1,9,5,4,98625553,23000,1500,80.00,0.18,13.20,7157.81,2.62,0.762,democracy,republic
72,83,1,60,5,2,399896,18,1,87.00,0.18,25.50,10432.33,10.04,0.903,democracy,republic
73,91,1,18,6,6,45290828,252000,35000,12.00,0.41,19.90,146.60,0.67,0.389,autocracy,N/A
74,87,1,49,6,5,2455177,11000,8,30.00,0.05,22.50,474.22,0.99,0.579,democracy,republic
75,94,1,9,5,4,5022636,3000,110,81.00,0.12,10.50,1007.50,1.81,0.647,democracy,republic
76,97,1,46,2,2,4490875,250,12,87.00,0.23,27.70,38131.46,16.05,1.002,democracy,monarchy
77,93,1,24,3,6,24546513,102000,3100,29.00,0.33,35.50,229.49,0.79,0.429,democracy,monarchy
78,98,1,13,4,1,2282136,370,23,87.00,0.07,7.30,8601.27,4.37,0.814,autocracy,N/A
79,99,1,5,4,1,154879125,427000,130,2.60,0.14,18.30,576.20,0.58,0.218,autocracy,N/A
80,100,1,9,5,4,3010366,1500,200,80.00,0.16,9.00,4060.32,2.89,0.750,democracy,republic
81,102,1,9,5,4,26598334,49000,4400,80.00,0.10,10.80,1955.59,1.86,0.747,autocracy,N/A
82,104,1,21,5,2,38258080,13000,320,87.00,0.10,30.80,4501.45,7.93,0.916,democracy,republic
83,105,1,7,5,2,10283211,4900,1300,87.00,0.13,21.20,11497.75,10.60,0.948,democracy,republic
84,101,1,9,5,4,5100873,2100,180,91.00,0.11,14.50,1663.60,2.08,0.695,autocracy,N/A
85,106,1,13,4,1,644986,320,2,87.00,0.02,15.60,29976.17,6.20,0.891,autocracy,N/A
86,107,1,27,5,2,22046251,32000,560,87.00,0.07,26.10,1659.91,3.29,0.798,democracy,republic
87,1,2,20,4,1,20284311,38000,6,26.00,0.35,11.80,365.66,0.45,0.176,N/A,N/A
88,5,2,7,5,3,16747217,52000,9700,42.00,0.31,8.90,527.33,0.24,0.096,autocracy,N/A
89,2,2,50,4,2,3147944,640,1,86.00,0.03,19.70,1281.66,2.88,0.773,democracy,republic
90,4,2,64,5,2,65847,12,999999,87.00,0.08,30.20,22970.51,0.00,0.000,democracy,N/A
91,6,2,9,5,4,37624824,13000,870,86.00,0.08,23.60,7208.37,3.90,0.874,democracy,republic
92,7,2,51,5,2,3084350,1800,31,79.00,0.10,26.40,694.42,2.47,0.804,autocracy,N/A
93,9,2,14,5,2,8042236,1200,63,87.00,0.06,31.10,24537.51,14.55,0.944,democracy,republic
94,10,2,35,4,2,8251770,6200,140,79.00,0.24,20.20,703.68,0.97,0.362,autocracy,N/A
95,22,2,30,5,3,6634369,18000,7500,36.00,0.47,12.50,134.36,0.33,0.064,autocracy,N/A
96,15,2,32,5,2,10287004,1500,110,87.00,0.08,26.30,22995.16,13.92,1.122,democracy,monarchy
97,17,2,16,5,3,7445589,6200,1500,43.00,0.32,8.30,518.07,0.42,0.183,democracy,republic
98,12,2,8,4,6,136805811,303000,120,25.00,0.33,22.90,415.03,0.81,0.487,democracy,republic
99,21,2,40,5,2,7928450,4800,3,80.00,0.07,35.60,1770.91,4.30,0.863,democracy,republic
100,11,2,13,4,1,699953,220,6,87.00,0.06,12.10,12868.18,6.22,0.903,autocracy,N/A
101,14,2,37,5,2,9938068,7000,59,79.00,0.14,27.90,1244.37,5.81,0.557,autocracy,N/A
102,16,2,6,5,4,248378,150,21,89.00,0.13,9.10,3404.42,3.03,0.756,democracy,monarchy
103,20,2,7,5,4,176301200,85000,6400,87.00,0.10,16.50,3160.25,2.17,0.496,democracy,republic
104,13,2,6,5,4,262434,7,3,87.00,0.32,6.40,11209.42,5.06,0.921,democracy,monarchy
105,18,2,56,6,6,610785,1300,45,80.00,0.12,10.40,764.43,0.85,0.440,autocracy,N/A
106,19,2,6,5,3,1712261,15000,12000,63.00,0.41,13.30,3278.02,0.63,0.526,democracy,republic
107,25,2,6,5,4,31213576,2000,250,87.00,0.10,20.40,23822.06,12.80,0.618,democracy,monarchy
108,27,2,9,5,4,15683847,3500,480,87.00,0.21,34.30,4574.59,7.44,0.594,democracy,republic
109,28,2,2,2,5,1278725053,1330000,23000,35.00,0.09,26.40,1053.11,2.10,0.694,autocracy,N/A
110,24,2,6,5,3,15309492,49000,23000,23.00,0.53,7.70,687.65,0.36,0.171,autocracy,N/A
111,29,2,9,5,4,39709267,14000,1200,81.00,0.12,12.30,2439.68,3.01,0.534,democracy,republic
112,30,2,13,4,3,547223,210,1,66.00,0.18,12.80,680.91,0.59,0.230,autocracy,N/A
113,32,2,9,5,4,11144133,1100,15,87.00,0.04,18.80,2837.74,9.05,0.879,autocracy,N/A
114,33,2,34,5,2,964137,46,4,87.00,0.04,33.60,14821.45,13.02,0.922,democracy,republic
115,47,2,14,5,2,81933884,7700,580,91.00,0.09,25.00,23607.88,15.06,0.949,democracy,republic
116,35,2,13,4,1,771314,5200,2300,80.00,0.16,21.50,780.90,0.58,0.279,autocracy,N/A
117,36,2,6,5,4,68287,4,1,89.13,0.27,5.80,4883.00,4.30,0.940,democracy,republic
118,34,2,43,2,2,5358829,570,44,87.00,0.09,30.40,30751.65,13.71,1.042,democracy,monarchy
119,3,2,13,4,3,31331224,23000,65,80.00,0.11,15.50,1740.61,1.83,0.705,autocracy,N/A
120,37,2,9,5,4,12910747,7500,420,80.00,0.19,7.00,1894.62,2.61,0.713,autocracy,N/A
121,38,2,13,4,1,74652027,18000,24,57.00,0.06,15.90,1378.20,1.57,0.727,autocracy,N/A
122,39,2,42,4,3,2312078,4000,950,68.00,0.22,6.50,316.82,0.69,0.393,autocracy,N/A
123,40,2,55,2,2,1388168,810,83,87.00,0.13,28.60,4505.86,6.96,0.883,democracy,republic
124,41,2,11,5,3,69487754,284000,87000,33.00,0.49,3.80,120.77,0.39,0.144,autocracy,N/A
125,43,2,45,5,2,5187973,530,12,87.00,0.19,21.40,24946.19,18.56,1.038,democracy,republic
126,44,2,16,5,2,59905131,7000,1100,83.00,0.19,30.50,22433.55,14.94,0.965,democracy,republic
127,45,2,16,5,3,1309587,7200,3700,35.00,0.40,9.50,3993.03,0.71,0.459,autocracy,N/A
128,46,2,47,5,2,4209632,10000,15,39.00,0.04,22.60,801.99,2.05,0.784,autocracy,N/A
129,48,2,6,5,3,20167075,43000,15000,28.00,0.48,4.50,269.01,0.60,0.346,democracy,republic
130,52,2,16,4,3,8539963,19000,3200,31.00,0.37,6.30,336.15,0.33,0.070,autocracy,N/A
131,49,2,34,5,2,10843164,580,30,87.00,0.20,39.10,12538.18,13.06,0.919,democracy,republic
132,50,2,6,5,4,107987,1,1,83.00,1.00,9.10,5041.01,4.79,0.562,democracy,monarchy
133,51,2,9,5,4,11969429,3000,220,80.00,0.21,7.90,1550.36,1.36,0.538,democracy,republic
134,53,2,6,5,4,764472,530,70,80.00,0.19,14.60,955.67,1.45,0.771,democracy,republic
135,55,2,9,5,4,6757983,6300,1000,80.00,0.11,12.80,1120.55,2.01,0.489,democracy,republic
136,31,2,48,5,2,4301063,1600,23,87.00,0.09,26.10,5412.93,9.31,0.876,democracy,republic
137,54,2,16,5,4,8455921,23000,8800,44.00,0.25,9.00,735.52,0.57,0.221,autocracy,N/A
138,56,2,36,5,2,10166688,3400,41,87.00,0.12,30.90,5276.03,7.53,0.904,democracy,republic
139,58,2,3,3,6,1077898574,3460000,355000,31.00,0.34,15.90,451.57,0.71,0.432,democracy,republic
140,61,2,6,5,2,3862987,450,28,87.00,0.08,25.80,28257.94,11.18,0.954,democracy,republic
141,60,2,13,4,1,25197848,13000,1,83.00,0.10,17.10,1494.39,1.59,0.579,autocracy,N/A
142,57,2,61,5,2,285048,14,1,87.00,0.24,23.70,28897.44,20.69,0.983,democracy,republic
143,62,2,39,7,2,6259977,590,38,87.00,0.10,23.40,20316.25,12.03,0.963,democracy,republic
144,63,2,17,5,2,57305753,4900,690,87.00,0.12,23.40,20483.22,15.12,0.941,democracy,republic
145,64,2,6,5,4,2624410,150,37,82.00,0.16,15.50,3437.66,3.43,0.826,democracy,monarchy
146,66,2,13,4,1,5498879,450,1,76.00,0.07,26.00,1720.36,2.76,0.523,autocracy,N/A
147,65,2,10,2,5,127260142,41000,450,87.00,0.12,29.20,34406.18,18.93,0.632,democracy,monarchy
148,67,2,26,4,2,15575558,29000,390,91.00,0.20,19.20,1490.93,1.65,0.454,autocracy,N/A
149,70,2,13,4,1,2008137,570,2,87.00,0.04,22.60,16587.25,6.00,0.876,autocracy,N/A
150,72,2,13,4,1,4401924,590,4,87.00,0.09,33.90,4422.39,4.01,0.559,autocracy,N/A
151,75,2,13,4,1,5403641,2200,20,77.36,0.14,11.00,6266.49,2.60,0.516,autocracy,N/A
152,76,2,52,5,2,3473000,3000,120,87.00,0.13,25.10,3525.79,6.96,0.903,democracy,republic
153,77,2,57,5,2,441748,36,3,87.00,0.17,28.60,48398.23,18.53,0.939,democracy,monarchy
154,71,2,54,5,2,2338306,2300,230,87.00,0.15,30.70,3578.00,5.32,0.867,democracy,republic
155,89,2,13,4,1,28814642,32000,470,88.00,0.08,13.80,1339.29,1.38,0.567,autocracy,N/A
156,81,2,59,4,6,286771,170,0,80.00,0.10,18.40,3038.78,2.05,0.692,autocracy,N/A
157,86,2,9,5,4,100099100,24000,1300,80.00,0.17,12.40,7544.57,2.75,0.773,democracy,republic
158,83,2,60,5,2,402784,18,1,87.00,0.13,25.00,10402.23,10.51,0.908,democracy,republic
159,91,2,18,6,6,45771142,254000,31000,17.00,0.40,19.60,131.72,0.69,0.402,autocracy,N/A
160,87,2,49,6,5,2477704,11000,10,33.00,0.05,22.60,524.05,1.08,0.619,democracy,republic
161,94,2,9,5,4,5087828,3000,97,81.00,0.11,10.50,1034.55,1.92,0.665,democracy,republic
162,97,2,46,2,2,4513656,320,15,87.00,0.18,26.70,38542.72,16.76,0.996,democracy,monarchy
163,93,2,24,3,6,24946746,101000,2900,29.00,0.33,34.80,246.73,0.84,0.457,democracy,monarchy
164,98,2,13,4,1,2310215,340,20,87.00,0.07,7.10,8475.97,4.71,0.832,autocracy,N/A
165,99,2,5,4,1,159270907,439000,0,4.70,0.14,18.00,544.49,0.60,0.228,autocracy,N/A
166,100,2,9,5,4,3069538,2100,260,80.00,0.12,8.80,4046.43,2.96,0.759,democracy,republic
167,102,2,9,5,4,26964613,47000,3500,80.00,0.09,10.90,1941.48,2.03,0.768,democracy,republic
168,104,2,21,5,2,38247356,12000,290,87.00,0.10,30.60,4991.24,8.43,0.924,democracy,republic
169,105,2,7,5,2,10354321,5000,1300,87.00,0.13,21.80,11724.61,11.64,0.956,democracy,republic
170,101,2,9,5,4,5187685,2300,170,91.00,0.10,14.30,1565.05,2.14,0.712,autocracy,N/A
171,106,2,13,4,1,677924,330,2,87.00,0.02,15.50,28517.22,6.47,0.883,autocracy,N/A
172,107,2,27,5,2,21919919,33000,510,87.00,0.08,25.10,1825.18,3.47,0.805,democracy,republic
173,1,3,20,4,1,21378110,40000,6,34.00,0.31,11.90,179.43,0.47,0.151,N/A,N/A
174,5,3,7,5,3,17327706,56000,10000,54.00,0.25,8.90,872.49,0.25,0.067,autocracy,N/A
175,2,3,50,4,2,3134100,680,1,87.00,0.03,19.40,1425.12,3.06,0.779,democracy,republic
176,4,3,64,5,2,66507,6,999999,87.00,0.08,30.00,25067.24,0.00,0.000,democracy,N/A
177,6,3,9,5,4,38029352,13000,790,86.00,0.08,23.60,2593.40,4.04,0.873,democracy,republic
178,7,3,51,5,2,3055629,1800,36,79.00,0.11,26.20,783.24,2.60,0.519,autocracy,N/A
179,9,3,14,5,2,8081637,1200,61,87.00,0.07,31.60,26401.75,14.84,0.945,democracy,republic
180,10,3,35,4,2,8326127,6500,140,80.00,0.21,20.20,763.08,1.05,0.379,autocracy,N/A
181,22,3,30,5,3,6824137,17000,6300,37.00,0.44,12.50,123.12,0.35,0.087,autocracy,N/A
182,15,3,32,5,2,10332975,1400,95,87.00,0.07,25.90,24887.56,14.46,1.130,democracy,monarchy
183,17,3,16,5,3,7675440,6200,1300,46.00,0.30,8.20,574.93,0.43,0.202,democracy,republic
184,12,3,8,4,6,138933661,307000,140,27.00,0.32,23.00,413.08,0.87,0.508,democracy,republic
185,21,3,40,5,2,7861939,4200,4,80.00,0.07,36.70,2092.96,4.52,0.871,democracy,republic
186,11,3,13,4,1,752198,220,6,87.00,0.06,12.50,13049.91,6.45,0.893,autocracy,N/A
187,14,3,37,5,2,9873452,6500,61,79.00,0.18,27.10,1479.31,6.24,0.558,autocracy,N/A
188,16,3,6,5,4,256006,150,21,89.00,0.11,9.00,3526.08,3.12,0.526,democracy,monarchy
189,20,3,7,5,4,178503477,93000,6400,87.00,0.08,16.30,2839.49,2.33,0.868,democracy,republic
190,13,3,6,5,4,264152,6,3,87.00,0.30,6.40,11361.52,5.00,0.924,democracy,monarchy
191,18,3,56,6,6,624414,1400,47,80.00,0.12,10.50,845.50,0.91,0.346,autocracy,N/A
192,19,3,6,5,3,1744766,15000,12000,68.00,0.32,13.30,3190.62,0.64,0.536,democracy,republic
193,25,3,6,5,4,31535575,1900,220,87.00,0.10,19.20,24255.34,12.82,0.618,democracy,monarchy
194,27,3,9,5,4,15857926,2800,360,87.00,0.25,33.00,4446.25,7.85,0.890,democracy,republic
195,28,3,2,2,5,1286866836,1290000,20000,36.00,0.08,25.60,1148.51,2.29,0.705,autocracy,N/A
196,24,3,6,5,3,15725533,51000,23000,22.00,0.53,7.60,759.11,0.37,0.169,autocracy,N/A
197,29,3,9,5,4,40324676,14000,1100,81.00,0.12,12.20,2396.63,3.13,0.784,democracy,republic
198,30,3,13,4,3,558924,210,1,53.00,0.23,12.70,747.99,0.60,0.351,autocracy,N/A
199,32,3,9,5,4,11177414,1000,16,87.00,0.04,18.60,2999.24,9.40,0.894,autocracy,N/A
200,33,3,34,5,2,981445,23,2,87.00,0.10,33.60,16093.21,13.98,0.935,democracy,republic
201,47,3,14,5,2,82068329,7600,530,91.00,0.08,24.30,25077.73,15.34,0.952,democracy,republic
202,35,3,13,4,1,795580,4000,1600,80.00,0.16,21.40,791.38,0.60,0.291,autocracy,N/A
203,36,3,6,5,4,68357,2,1,89.00,0.69,5.80,4770.85,4.30,0.940,democracy,republic
204,34,3,43,2,2,5375966,460,33,87.00,0.09,29.40,33228.69,13.98,1.027,democracy,monarchy
205,3,3,13,4,3,31750827,24000,42,80.00,0.11,15.20,1781.83,1.89,0.721,autocracy,N/A
206,37,3,9,5,4,13138476,7300,370,80.00,0.18,6.60,2172.10,2.76,0.722,autocracy,N/A
207,38,3,13,4,1,76239140,18000,23,62.00,0.06,15.80,1191.10,1.66,0.734,autocracy,N/A
208,39,3,42,4,3,2392972,4100,840,68.00,0.22,6.40,293.96,0.73,0.411,autocracy,N/A
209,40,3,55,2,2,1379429,710,98,87.00,0.14,28.70,5341.63,7.62,0.897,democracy,republic
210,41,3,11,5,3,71635516,282000,74000,39.00,0.43,3.80,111.93,0.42,0.176,autocracy,N/A
211,43,3,45,5,2,5200545,520,12,87.00,0.20,21.30,26869.67,19.05,1.045,democracy,republic
212,44,3,16,5,2,60327252,6900,970,83.00,0.18,29.90,24177.34,15.54,0.961,democracy,republic
213,45,3,16,5,3,1345133,7700,3700,27.00,0.45,9.60,4141.43,0.73,0.467,autocracy,N/A
214,46,3,47,5,2,4127846,9400,22,48.00,0.04,22.50,853.52,2.23,0.804,autocracy,N/A
215,48,3,6,5,3,20729387,44000,14000,27.00,0.48,4.40,304.56,0.62,0.364,democracy,republic
216,52,3,16,4,3,8674062,19000,4200,32.00,0.38,6.30,343.60,0.34,0.101,autocracy,N/A
217,49,3,34,5,2,10890287,660,32,87.00,0.15,39.40,14110.31,14.04,0.940,democracy,republic
218,50,3,6,5,4,108401,1,1,83.00,0.84,9.00,5213.80,4.86,0.941,democracy,monarchy
219,51,3,9,5,4,12246918,3600,240,80.00,0.15,7.70,1682.99,1.43,0.556,democracy,republic
220,53,3,6,5,4,763647,740,99,80.00,0.20,14.60,974.95,1.49,0.440,democracy,republic
221,55,3,9,5,4,6938867,5600,750,80.00,0.11,12.50,1122.09,2.11,0.495,democracy,republic
222,31,3,48,5,2,4305787,1700,23,87.00,0.11,26.30,6293.23,9.70,0.881,democracy,republic
223,54,3,16,5,4,8607647,24000,8000,51.00,0.22,8.80,692.03,0.59,0.233,autocracy,N/A
224,56,3,36,5,2,10138459,3100,36,87.00,0.11,31.00,6655.33,8.04,0.911,democracy,republic
225,58,3,3,3,6,1097600382,3510000,306000,30.00,0.31,15.80,470.99,0.75,0.452,democracy,republic
226,61,3,6,5,2,3928451,430,26,87.00,0.11,25.00,32550.28,11.94,0.961,democracy,republic
227,60,3,13,4,1,26006556,13000,1,93.00,0.10,17.10,1320.73,1.62,0.457,autocracy,N/A
228,57,3,61,5,2,287604,9,0,87.00,0.45,23.00,32409.22,21.76,1.000,democracy,republic
229,62,3,39,7,2,6387724,540,35,87.00,0.12,22.60,18439.65,12.41,0.971,democracy,republic
230,63,3,17,5,2,57420629,4500,580,87.00,0.13,23.20,22270.14,16.05,0.949,democracy,republic
231,64,3,6,5,4,2640571,130,29,82.00,0.20,15.30,3609.20,3.51,0.827,democracy,monarchy
232,66,3,13,4,1,5616076,410,1,76.00,0.08,25.90,1802.06,2.85,0.806,autocracy,N/A
233,65,3,10,2,5,127484608,38000,400,87.00,0.12,28.60,32820.79,19.89,0.633,democracy,monarchy
234,67,3,26,4,2,15656679,30000,400,91.00,0.20,19.50,1658.03,1.76,0.462,autocracy,N/A
235,70,3,13,4,1,2059972,670,3,87.00,0.05,22.50,17846.38,6.11,0.575,autocracy,N/A
236,72,3,13,4,1,4463501,500,3,87.00,0.09,32.60,4579.46,4.31,0.565,autocracy,N/A
237,75,3,13,4,1,5508418,2200,23,83.00,0.10,11.00,3703.04,2.69,0.874,autocracy,N/A
238,76,3,52,5,2,3444054,2800,110,87.00,0.13,25.00,4141.59,7.25,0.913,democracy,republic
239,77,3,57,5,2,446387,36,3,87.00,0.11,28.40,52754.27,19.49,0.937,democracy,monarchy
240,71,3,54,5,2,2311345,2100,200,87.00,0.13,30.70,4136.93,5.63,0.878,democracy,republic
241,89,3,13,4,1,29198133,34000,450,88.00,0.08,13.70,1416.49,1.45,0.584,autocracy,N/A
242,81,3,59,4,6,291623,150,0,81.00,0.17,18.40,3049.21,2.34,0.709,autocracy,N/A
243,86,3,9,5,4,101548624,22000,1100,80.00,0.17,11.80,7593.14,2.88,0.786,democracy,republic
244,83,3,60,5,2,405567,28,1,87.00,0.12,24.50,11289.89,10.79,0.911,democracy,republic
245,91,3,18,6,6,46232661,256000,29000,22.00,0.38,19.40,128.10,0.72,0.416,autocracy,N/A
246,87,3,49,6,5,2500082,11000,13,36.00,0.05,22.70,571.59,1.19,0.651,democracy,republic
247,94,3,9,5,4,5149913,2600,76,81.00,0.11,10.50,1000.94,2.03,0.687,democracy,republic
248,97,3,46,2,2,4538014,280,13,87.00,0.14,25.60,43084.47,17.17,0.992,democracy,monarchy
249,93,3,24,3,6,25328980,100000,2800,30.00,0.32,33.50,244.72,0.90,0.488,autocracy,N/A
250,98,3,13,4,1,2337146,330,18,87.00,0.06,7.10,8626.97,5.04,0.844,autocracy,N/A
251,99,3,5,4,1,163222547,450000,0,11.00,0.13,17.80,534.30,0.62,0.238,autocracy,N/A
252,100,3,9,5,4,3129342,2000,210,80.00,0.12,8.60,4126.23,3.04,0.766,democracy,republic
253,102,3,9,5,4,27288217,45000,2900,79.00,0.09,11.00,2021.24,2.20,0.783,democracy,republic
254,104,3,21,5,2,38229410,12000,270,87.00,0.09,30.60,5207.17,8.87,0.934,democracy,republic
255,105,3,7,5,2,10413042,5000,1200,87.00,0.12,22.20,12875.32,12.63,0.963,democracy,republic
256,101,3,9,5,4,5261327,2300,160,91.00,0.10,14.10,1300.85,2.20,0.721,autocracy,N/A
257,106,3,13,4,1,711200,320,2,87.00,0.01,15.40,30214.67,6.70,0.897,autocracy,N/A
